CustomerID,TerritoryID,ModifiedDate
1,1,2014-09-12 11:15:07.263 UTC
2,1,2014-09-12 11:15:07.263 UTC
7,1,2014-09-12 11:15:07.263 UTC
19,1,2014-09-12 11:15:07.263 UTC
20,1,2014-09-12 11:15:07.263 UTC
37,1,2014-09-12 11:15:07.263 UTC
38,1,2014-09-12 11:15:07.263 UTC
43,1,2014-09-12 11:15:07.263 UTC
55,1,2014-09-12 11:15:07.263 UTC
56,1,2014-09-12 11:15:07.263 UTC
73,1,2014-09-12 11:15:07.263 UTC
74,1,2014-09-12 11:15:07.263 UTC
91,1,2014-09-12 11:15:07.263 UTC
92,1,2014-09-12 11:15:07.263 UTC
109,1,2014-09-12 11:15:07.263 UTC
110,1,2014-09-12 11:15:07.263 UTC
115,1,2014-09-12 11:15:07.263 UTC
127,1,2014-09-12 11:15:07.263 UTC
128,1,2014-09-12 11:15:07.263 UTC
145,1,2014-09-12 11:15:07.263 UTC
146,1,2014-09-12 11:15:07.263 UTC
163,1,2014-09-12 11:15:07.263 UTC
164,1,2014-09-12 11:15:07.263 UTC
169,1,2014-09-12 11:15:07.263 UTC
181,1,2014-09-12 11:15:07.263 UTC
182,1,2014-09-12 11:15:07.263 UTC
199,1,2014-09-12 11:15:07.263 UTC
200,1,2014-09-12 11:15:07.263 UTC
217,1,2014-09-12 11:15:07.263 UTC
218,1,2014-09-12 11:15:07.263 UTC
235,1,2014-09-12 11:15:07.263 UTC
236,1,2014-09-12 11:15:07.263 UTC
253,1,2014-09-12 11:15:07.263 UTC
254,1,2014-09-12 11:15:07.263 UTC
271,1,2014-09-12 11:15:07.263 UTC
272,1,2014-09-12 11:15:07.263 UTC
289,1,2014-09-12 11:15:07.263 UTC
290,1,2014-09-12 11:15:07.263 UTC
293,1,2014-09-12 11:15:07.263 UTC
307,1,2014-09-12 11:15:07.263 UTC
308,1,2014-09-12 11:15:07.263 UTC
325,1,2014-09-12 11:15:07.263 UTC
326,1,2014-09-12 11:15:07.263 UTC
343,1,2014-09-12 11:15:07.263 UTC
344,1,2014-09-12 11:15:07.263 UTC
361,1,2014-09-12 11:15:07.263 UTC
362,1,2014-09-12 11:15:07.263 UTC
379,1,2014-09-12 11:15:07.263 UTC
380,1,2014-09-12 11:15:07.263 UTC
397,1,2014-09-12 11:15:07.263 UTC
398,1,2014-09-12 11:15:07.263 UTC
401,1,2014-09-12 11:15:07.263 UTC
415,1,2014-09-12 11:15:07.263 UTC
416,1,2014-09-12 11:15:07.263 UTC
433,1,2014-09-12 11:15:07.263 UTC
434,1,2014-09-12 11:15:07.263 UTC
438,1,2014-09-12 11:15:07.263 UTC
451,1,2014-09-12 11:15:07.263 UTC
452,1,2014-09-12 11:15:07.263 UTC
469,1,2014-09-12 11:15:07.263 UTC
470,1,2014-09-12 11:15:07.263 UTC
487,1,2014-09-12 11:15:07.263 UTC
488,1,2014-09-12 11:15:07.263 UTC
505,1,2014-09-12 11:15:07.263 UTC
506,1,2014-09-12 11:15:07.263 UTC
541,1,2014-09-12 11:15:07.263 UTC
542,1,2014-09-12 11:15:07.263 UTC
559,1,2014-09-12 11:15:07.263 UTC
560,1,2014-09-12 11:15:07.263 UTC
564,1,2014-09-12 11:15:07.263 UTC
577,1,2014-09-12 11:15:07.263 UTC
578,1,2014-09-12 11:15:07.263 UTC
595,1,2014-09-12 11:15:07.263 UTC
596,1,2014-09-12 11:15:07.263 UTC
601,1,2014-09-12 11:15:07.263 UTC
604,1,2014-09-12 11:15:07.263 UTC
605,1,2014-09-12 11:15:07.263 UTC
620,1,2014-09-12 11:15:07.263 UTC
621,1,2014-09-12 11:15:07.263 UTC
626,1,2014-09-12 11:15:07.263 UTC
644,1,2014-09-12 11:15:07.263 UTC
645,1,2014-09-12 11:15:07.263 UTC
650,1,2014-09-12 11:15:07.263 UTC
668,1,2014-09-12 11:15:07.263 UTC
669,1,2014-09-12 11:15:07.263 UTC
672,1,2014-09-12 11:15:07.263 UTC
673,1,2014-09-12 11:15:07.263 UTC
692,1,2014-09-12 11:15:07.263 UTC
693,1,2014-09-12 11:15:07.263 UTC
696,1,2014-09-12 11:15:07.263 UTC
697,1,2014-09-12 11:15:07.263 UTC
698,1,2014-09-12 11:15:07.263 UTC
11012,1,2014-09-12 11:15:07.263 UTC
11013,1,2014-09-12 11:15:07.263 UTC
11014,1,2014-09-12 11:15:07.263 UTC
11021,1,2014-09-12 11:15:07.263 UTC
11022,1,2014-09-12 11:15:07.263 UTC
11040,1,2014-09-12 11:15:07.263 UTC
11062,1,2014-09-12 11:15:07.263 UTC
11063,1,2014-09-12 11:15:07.263 UTC
11066,1,2014-09-12 11:15:07.263 UTC
11067,1,2014-09-12 11:15:07.263 UTC
11084,1,2014-09-12 11:15:07.263 UTC
11128,1,2014-09-12 11:15:07.263 UTC
11129,1,2014-09-12 11:15:07.263 UTC
11130,1,2014-09-12 11:15:07.263 UTC
11133,1,2014-09-12 11:15:07.263 UTC
11137,1,2014-09-12 11:15:07.263 UTC
11144,1,2014-09-12 11:15:07.263 UTC
11145,1,2014-09-12 11:15:07.263 UTC
11152,1,2014-09-12 11:15:07.263 UTC
11153,1,2014-09-12 11:15:07.263 UTC
11154,1,2014-09-12 11:15:07.263 UTC
11157,1,2014-09-12 11:15:07.263 UTC
11166,1,2014-09-12 11:15:07.263 UTC
11167,1,2014-09-12 11:15:07.263 UTC
11170,1,2014-09-12 11:15:07.263 UTC
11172,1,2014-09-12 11:15:07.263 UTC
11173,1,2014-09-12 11:15:07.263 UTC
11182,1,2014-09-12 11:15:07.263 UTC
11187,1,2014-09-12 11:15:07.263 UTC
11189,1,2014-09-12 11:15:07.263 UTC
11192,1,2014-09-12 11:15:07.263 UTC
11193,1,2014-09-12 11:15:07.263 UTC
11195,1,2014-09-12 11:15:07.263 UTC
11196,1,2014-09-12 11:15:07.263 UTC
11197,1,2014-09-12 11:15:07.263 UTC
11204,1,2014-09-12 11:15:07.263 UTC
11205,1,2014-09-12 11:15:07.263 UTC
11206,1,2014-09-12 11:15:07.263 UTC
11207,1,2014-09-12 11:15:07.263 UTC
11213,1,2014-09-12 11:15:07.263 UTC
11214,1,2014-09-12 11:15:07.263 UTC
11216,1,2014-09-12 11:15:07.263 UTC
11217,1,2014-09-12 11:15:07.263 UTC
11218,1,2014-09-12 11:15:07.263 UTC
11219,1,2014-09-12 11:15:07.263 UTC
11224,1,2014-09-12 11:15:07.263 UTC
11225,1,2014-09-12 11:15:07.263 UTC
11226,1,2014-09-12 11:15:07.263 UTC
11231,1,2014-09-12 11:15:07.263 UTC
